,Videoname,Birds_per_video,Frames_per_video
0,20240805_1_00035,151,52
1,20240805_2_00036,20,20
2,20240806_10_00056,33,30
3,20240806_10_00057,50,41
4,20240806_1_00037,5,5
5,20240806_1_00038,34,17
6,20240806_2_00039,6,6
7,20240806_2_00041,27,27
8,20240806_2_00042,19,19
9,20240806_3_00043,3,3
10,20240806_3_00044,21,21
11,20240806_3_00045,32,30
12,20240806_3_00046,24,21
13,20240806_4_00047,40,40
14,20240806_4_00049,24,20
15,20240806_5_00050,58,42
16,20240806_6_00051,45,45
17,20240806_7_00052,33,33
18,20240806_8_00053,4,4
19,20240806_9_00054,11,11
20,20240806_9_00055,7,7
21,20240807_1_00058,29,29
22,20240807_1_00059,9,9
23,20240807_1_00060,1,1
24,20240807_2_00061,32,22
25,20240807_3_00062,60,59
26,20240807_4_00063,103,74
27,20240807_4_00064,7,7
28,20240807_4_00065,83,49
29,20240807_5_00066,7,7
30,20240807_6_00067,15,15
31,20240807_6_00068,17,17
32,20240807_6_00069,38,24
33,20240807_7_00070,29,28
34,20240807_9_00071,4,4
35,20240811_10_00084,9,9
36,20240811_10_00086,5,5
37,20240811_10_00087,3,3
38,20240811_10_00088,5,5
39,20240811_11_00089,16,16
40,20240811_1_00072,60,53
41,20240811_1_00073,15,12
42,20240811_2_00074,22,22
43,20240811_3_00075,8,8
44,20240811_3_00076,4,4
45,20240811_3_00077,10,10
46,20240811_5_00078,20,15
47,20240811_6_00079,1,1
48,20240811_6_00080,2,2
49,20240811_7_00081,3,3
50,20240811_7_00082,10,10
51,20240811_8_00083,44,41
52,20240811_9_00085,6,6
53,20240813_10_00103,64,39
54,20240813_12_00106,19,13
55,20240813_12_00107,60,41
56,20240813_1_00090,13,13
57,20240813_3_00092,5,5
58,20240813_3_00093,7,7
59,20240813_4_00096,8,8
60,20240813_5_00097,59,33
61,20240813_6_00098,32,27
62,20240813_6_00099,15,15
63,20240813_6_00100,4,4
64,20240813_7_00101,8,8
65,20240813_7_00102,3,3
66,20240815_1_00113,39,34
67,20240815_2_00114,5,5
68,20240815_2_00115,8,8
69,20240815_3_00116,1,1
70,20240815_7_00117,7,7
71,20240815_8_00119,2,2
72,20240815_9_00120,7,7
73,20240815_9_00121,6,6
74,20240816_10_00132,2,2
75,20240816_10_00133,8,8
76,20240816_1_00122,5,5
77,20240816_3_00123,4,4
78,20240816_3_00124,12,12
79,20240816_4_00125,38,31
80,20240816_5_00126,10,10
81,20240816_5_00127,3,3
82,20240816_5_00128,9,9
83,20240816_6_00130,13,13
84,20240816_9_00131,50,40
85,20240820_1_00134,13,10
86,20240820_1_00135,14,14
87,20240820_2_00136,17,17
88,20240820_3_00137,32,26
89,20240820_4_00139,8,8
90,20240820_5_00140,2,2
91,20240821_1_00141,9,6
92,20240821_1_00142,4,4
93,20240821_1_00143,4,4
94,20240821_1_00147,1,1
95,20240821_2_00144,4,4
96,20240821_2_00145,1,1
97,20240821_2_00146,10,10
98,20240821_3_00148,7,7
99,20240821_4_00150,1,1
100,20240821_4_00151,13,13
101,20240821_4_00152,36,29
102,20240821_4_00153,35,35
103,20240821_5_00154,9,8
104,20240821_6_00155,36,36
105,20240822_1_00160,20,20
106,20240822_2_00161,5,5
107,20240822_2_00162,10,10
108,20240822_2_00163,2,2
109,20240822_4_00164,1,1
110,20240822_5_00165,7,7
111,20240822_5_00166,1,1
112,20240822_5_00167,2,2
113,20240822_5_00168,9,9
114,20240822_6_00169,15,15
115,20240822_7_00170,14,14
116,20240822_7_00171,22,22
117,20240830_1_00181,10,10
118,20240830_1_00182,22,15
119,20240830_2_00184,7,7
120,20240830_3_00185,3,3
121,20240830_5_00186,20,17
122,20240830_5_00187,9,4
123,20240830_6_00188,2,2
124,20240830_6_00189,46,35
125,20240830_7_00190,2,2
126,20240830_7_00191,21,11
127,20240903_1_00192,13,13
128,20240903_1_00193,36,20
129,20240903_2_00196,8,8
130,20240903_3_00198,3,3
131,20240903_3_00199,18,16
132,20240903_4_00200,15,15
133,20240903_4_00201,29,21
134,20240903_5_00202,7,7
135,20240903_7_00204,2,2
136,20240903_7_00205,3,3
137,20240905_1_00206,47,42
138,20240905_2_00207,13,13
139,20240905_2_00208,7,7
140,20240906_1_00209,11,11
141,20240906_1_00210,20,20
142,20240906_1_00211,28,28
143,20240906_2_00212,13,13
144,20240906_3_00213,11,11
145,20240906_3_00214,11,11
146,20240906_4_00215,1,1
147,20240906_4_00216,3,3
148,20240906_4_00217,36,36
149,20240906_5_00218,4,4
150,20240906_5_00220,28,25
151,20240906_5_00221,5,5
152,20240906_6_00222,4,4
153,20240906_6_00223,30,25
154,20240906_7_00224,3,3
155,20240906_7_00225,10,10
156,20240906_7_00226,12,12
157,20240906_8_00227,17,14
158,20240909_1_00228,5,5
159,20240909_1_00229,4,4
160,20240909_2_00230,1,1
161,20240909_2_00231,8,8
162,20240909_3_00232,4,4
163,20240909_3_00233,8,8
164,20240909_4_00234,28,21
165,20240909_4_00235,31,29
166,20240909_5_00236,3,3
167,20240909_5_00238,2,2
168,20240909_6_00241,4,4
169,20240909_6_00243,5,5
170,20240909_6_00244,72,62
171,20240909_7_00245,6,6
172,20240909_7_00246,3,3
173,20240909_8_00247,6,6
174,20240912_2_00248,2,2
175,20240912_2_00250,10,10
176,20240912_3_00251,11,11
177,20240912_4_00252,4,4
178,20240912_4_00253,1,1
179,20240912_5_00254,12,12
180,20240912_5_00255,11,11
181,20240912_6_00256,9,9
182,20240916_1_00257,8,8
183,20240916_1_00258,4,4
184,20240916_1_00259,3,3
185,20240916_2_00260,12,9
186,20240916_2_00261,7,7
187,20240916_2_00262,3,3
188,20240916_2_00263,11,11
189,20240916_3_00264,2,2
190,20240916_3_00265,6,6
191,20240916_3_00266,11,10
192,20240916_3_00267,21,21
193,20240916_4_00268,5,5
194,20240916_4_00269,2,2
195,20240916_4_00270,10,10
196,20240916_5_00271,8,8
197,20240916_6_00273,15,14
198,20240919_1_00274,8,8
199,20240919_2_00277,11,11
200,20240919_3_00278,18,18
201,20240919_3_00279,27,19
202,20240919_4_00280,5,5
203,20240919_4_00281,18,18
204,20240919_5_00282,6,6
205,20240919_5_00283,3,3
206,20240919_6_00284,38,22
207,20240919_8_00285,4,4
208,20240923_1_00286,2,2
209,20240923_5_00288,4,4
210,20240923_8_00289,13,13
211,20241115_1_00291,2,2
212,20241115_4_00299,1,1
213,20241119_2_00309,1,1
214,20241119_5_00320,7,7
215,20241119_5_00321,5,5
216,20241119_6_00324,1,1
217,20241119_8_00327,2,2
218,20241119_training_00322,1,1
219,20241122_1_00331,1,1
220,20241122_1_00333,2,2
221,20241122_2_00338,4,4
222,20241123_training_00342,1,1
223,20241125_training_00356,1,1
224,20241127_2_00372,2,2
225,20241127_2_00373,2,2
226,20241127_training_00369,2,2
227,20241127_training_00376,4,4
228,20241127_training_00378,1,1
229,20241128_training_00397,2,2
230,20241128_training_00398,1,1
231,20241128_training_00417,2,2
232,20241128_training_00421,2,2
233,20241128_training_00444,1,1
234,20241128_training_00447,7,7
235,20241128_training_00449,3,3
236,20241128_training_00457,1,1
237,20241128_training_00460,4,3
238,20241128_training_00462,2,2
239,20241128_training_00464,2,1
240,20241128_training_00467,3,1
241,20241128_training_00469,8,3
242,20241129_5_00505,1,1
243,20241129_5_00506,3,3
244,20241129_5_00508,1,1
245,20241129_training_00500,1,1
246,20241129_training_00513,1,1
247,20241202_5_00534,2,2
248,20241202_5_00535,1,1
249,20241202_5_00539,1,1
250,20241202_6_00545,7,4
251,20241202_6_00547,7,4
252,20241204_3_00582,1,1
253,20241204_3_00583,5,3
254,20241204_3_00585,2,1
255,20241204_4_00589,2,2
256,20241204_4_00591,1,1
257,20241204_6_00614,3,3
258,20241204_7_00618,2,1
259,20241204_training_00626,2,1
260,20241206_4_00644,3,3
261,20241206_4_00646,2,2
262,20241206_5_00655,13,7
263,20241206_5_00658,4,2
264,20241206_5_00660,2,2
265,20241206_5_00662,3,3
266,20241206_5_00667,1,1
267,20241206_5_00671,1,1
268,20241206_5_00676,1,1
269,20241206_5_00680,1,1
270,20241206_training_00636,3,3
271,20241206_training_00650,1,1
272,20241206_training_00685,1,1
273,20241209_2_00699,2,2
274,20241209_6_00722,1,1
275,20241209_training_00707,1,1
276,20241209_training_00728,3,3
277,20241210_training_00732,1,1
278,20241210_training_00735,2,2
279,20241210_training_00741,1,1
280,20241210_training_00745,2,2
281,20241210_training_00746,1,1
282,20241211_1_00748,4,3
283,20241211_2_00764,3,3
284,20241211_2_00765,1,1
285,20241211_2_00767,6,3
286,20241211_4_00784,1,1
287,20241211_4_00787,1,1
288,20241211_4_00789,1,1
289,20241211_4_00790,1,1
290,20241211_5_00795,2,2
291,20241211_5_00799,3,2
292,20241211_training_00791,1,1
293,20241211_training_00805,2,2
294,20241212_training_00811,1,1
295,20241212_training_00816,1,1
296,20241212_training_00821,1,1
297,20241212_training_00822,3,3
298,20241212_training_00825,1,1
299,20241213_1_00841,1,1
300,20241213_1_00842,2,2
301,20241213_2_00847,1,1
302,20241213_3_00853,1,1
303,20241213_3_00855,1,1
304,20241213_5_00862,2,2
305,20241213_5_00869,1,1
306,20241213_6_00873,3,3
307,20241213_6_00874,7,7
308,20241213_6_00876,1,1
309,20241213_6_00878,3,3
310,20241213_6_00879,1,1
311,20241213_6_00880,1,1
312,20241213_6_00884,2,2
313,20241213_training_00889,1,1
314,20241213_training_00891,26,12
315,20241213_training_00892,1,1
316,20241215_1_00895,25,11
317,20241215_1_00896,1,1
318,20241215_2_00897,1,1
319,20241215_5_00915,4,2
320,20241215_5_00916,1,1
321,20241215_5_00917,32,17
322,20241216_training_00924,2,2
323,20241216_training_00927,6,2
