,TRACK_ID,FILENAME,BOUT_START,BOUT_END,PECKING,PECKING_FRAMES,MOULT,VIDEO_DURATION,BOUT_LENGTH,DATE,GROUP,TIME,GROUP_ID
0,1.0,20240805_1_00035.mp4,33.0,59.0,0,0.0,0.0,164.16,27.0,20240805,1,8.416666666666666,cmra
1,2.0,20240805_1_00035.mp4,87.0,113.0,0,0.0,0.21428571428571427,164.16,27.0,20240805,1,8.416666666666666,cmra
2,3.0,20240805_1_00035.mp4,114.0,180.0,0,0.0,0.0,164.16,67.0,20240805,1,8.416666666666666,cmra
3,5.0,20240805_1_00035.mp4,185.0,207.0,1,2.0,0.0,164.16,23.0,20240805,1,8.416666666666666,cmra
4,6.0,20240805_1_00035.mp4,208.0,236.0,0,0.0,0.0,164.16,29.0,20240805,1,8.416666666666666,cmra
5,13.0,20240805_1_00035.mp4,295.0,301.0,1,4.0,0.2,164.16,7.0,20240805,1,8.416666666666666,cmra
6,15.0,20240805_1_00035.mp4,304.0,328.0,1,3.0,0.043478260869565216,164.16,25.0,20240805,1,8.416666666666666,cmra
7,16.0,20240805_1_00035.mp4,317.0,370.0,2,5.0,0.11538461538461539,164.16,54.0,20240805,1,8.416666666666666,cmra
8,18.0,20240805_1_00035.mp4,330.0,354.0,0,0.0,0.18181818181818182,164.16,25.0,20240805,1,8.416666666666666,cmra
9,20.0,20240805_1_00035.mp4,361.0,446.0,0,0.0,0.27586206896551724,164.16,86.0,20240805,1,8.416666666666666,cmra
10,24.0,20240805_1_00035.mp4,377.0,377.0,1,1.0,0.0,164.16,1.0,20240805,1,8.416666666666666,cmra
11,25.0,20240805_1_00035.mp4,379.0,460.0,0,0.0,0.5679012345679012,164.16,82.0,20240805,1,8.416666666666666,cmra
12,26.0,20240805_1_00035.mp4,427.0,445.0,0,0.0,0.058823529411764705,164.16,19.0,20240805,1,8.416666666666666,cmra
13,27.0,20240805_1_00035.mp4,454.0,493.0,0,0.0,0.21052631578947367,164.16,40.0,20240805,1,8.416666666666666,cmra
14,33.0,20240805_1_00035.mp4,468.0,512.0,2,3.0,0.11363636363636363,164.16,45.0,20240805,1,8.416666666666666,cmra
15,36.0,20240805_1_00035.mp4,501.0,525.0,1,2.0,0.4166666666666667,164.16,25.0,20240805,1,8.416666666666666,cmra
