Videoname,Birds_per_video,Frames_per_video
20240805_1_00035,151,52
20240805_2_00036,20,20
20240806_10_00056,33,30
20240806_10_00057,50,41
20240806_1_00037,5,5
20240806_1_00038,34,17
20240806_2_00039,6,6
20240806_2_00041,27,27
20240806_2_00042,19,19
20240806_3_00043,3,3
20240806_3_00044,21,21
20240806_3_00045,32,30
20240806_3_00046,24,21
20240806_4_00047,40,40
20240806_4_00049,24,20
20240806_5_00050,58,42
20240806_6_00051,45,45
20240806_7_00052,33,33
20240806_8_00053,4,4
20240806_9_00054,11,11
20240806_9_00055,7,7
20240807_1_00058,29,29
20240807_1_00059,9,9
20240807_1_00060,1,1
20240807_2_00061,32,22
20240807_3_00062,60,59
20240807_4_00063,103,74
20240807_4_00064,7,7
20240807_4_00065,83,49
20240807_5_00066,7,7
20240807_6_00067,15,15
20240807_6_00068,17,17
20240807_6_00069,38,24
20240807_7_00070,29,28
20240807_9_00071,4,4
20240811_10_00084,9,9
20240811_10_00086,5,5
20240811_10_00087,3,3
20240811_10_00088,5,5
20240811_11_00089,16,16
20240811_1_00072,60,53
20240811_1_00073,15,12
20240811_2_00074,22,22
20240811_3_00075,8,8
20240811_3_00076,4,4
20240811_3_00077,10,10
20240811_5_00078,20,15
20240811_6_00079,1,1
20240811_6_00080,2,2
20240811_7_00081,3,3
20240811_7_00082,10,10
20240811_8_00083,44,41
20240811_9_00085,6,6
20240813_10_00103,64,39
20240813_12_00106,19,13
20240813_12_00107,60,41
20240813_1_00090,13,13
20240813_3_00092,5,5
20240813_3_00093,7,7
20240813_4_00096,8,8
20240813_5_00097,59,33
20240813_6_00098,32,27
20240813_6_00099,15,15
20240813_6_00100,4,4
20240813_7_00101,8,8
20240813_7_00102,3,3
20240815_1_00113,39,34
20240815_2_00114,5,5
20240815_2_00115,8,8
20240815_3_00116,1,1
20240815_7_00117,7,7
20240815_8_00119,2,2
20240815_9_00120,7,7
20240815_9_00121,6,6
20240816_10_00132,2,2
20240816_10_00133,8,8
