Group_id,Ind,Sex,Moult,Notes,
20240229_1,jWRna,f,,,
20240229_1,pBGrb,f,,,
20240229_1,GBB,f,,,
20240229_1,iNyb,m,2,,
20240229_1,cOnr,m,2,,
20240229_3,uOq,m,2,y,
20240229_3,uGwg,m,3,y,
20240229_4,jGyr,f,,,
20240229_4,pWRbo,m,2,,
20240229_4,zOWOgn,m,4,,
20240229_4,pBYyn,m,4.5,,
20240229_5,sKo,f,,,
20240229_5,,m,1.5,,
20240229_5,,m,3.5,,
20240229_6,lYRbo,m,2,,
20240229_6,sAq,f,,,
20240229_6,cMy,m,3,,
20240229_6,cWbg,f,,,
20240229_7,pRWob,m,2,,
20240229_7,cGRb,m,3,,
20240229_7,pWByn,f,,,
20240229_7,pWBwr,f,,,
20240229_8,jYny,m,2,,
20240229_8,hWyr,f,,feeding fledgies constantly begging,
20240229_8,zWRWba,m,5,,
20240229_9,hRo,f,,,
20240229_9,zBYBan,m,2,,
20240229_10,pYNYba,m,3.5,,
20240229_11,pObo,m,1.5,,
20240229_11,iMy,m,2,,
20240229_12,pWbo,m,2,,
20240229_13,lWArg,m,1,,
20240229_13,jBRao,m,5,,
20240229_13,pWBWwr,m,2,,
20240229_13,zOob,f,,,
20240229_13,pWRWg,m,4,,
20240229_13,uBba,m,2,,
20240229_13,zWbr,m,1,,
20240229_14,zAwo,m,4,,
20240229_14,iWq,m,3,,
20240229_14,jBRb,f,,,
20240303_1,sAg,f,,,
20240303_1,zBYBor,m,4,,
20240303_2,sMow,m,3,,
20240303_2,pANm,m,4,,
20240303_2,pANg,m,5,"Still changing beak colour, half pale, half black",
20240303_2,pBYrb,f,,,
20240303_3,fNo,m,4,,
20240303_3,cBar,m,4.5,,
20240303_3,pWRbo,m,2,,
20240303_4,jBbwb,m,4,,
20240303_4,cMra,f,,,
20240303_5,pBYyn,m,4.5,,
20240303_5,zOWOgn,m,4.5,,
20240303_5,pWRbo,m,2,,
20240303_5,cBar,m,4.5,,
20240303_5,fMr,f,,,
20240303_6,iNyb,m,2,,
20240303_6,GBB,f,,,
20240303_6,jWRna,f,,,
20240303_6,jMna,m,2,,
20240303_6,zWBWwg,m,4,,
20240303_6,cOnr,m,1,,
20240303_9,zAwo,m,4,,
