"","DATES","FILE_NAME","TARGET_GROUP","GROUP_NAME","TIME","NOTES","X","SIZE"
"2",20241217,"20241217_training_00942","y","jbrb","08:59 AEDT","",942,52.921875
"3",20241217,"20241217_training_00943","y","jbrb","09:03 AEDT","swa",943,78.0234375
"4",20241217,"20241217_training_00944","y","jbrb","09:04 AEDT","",944,52.9921875
"5",20241217,"20241217_training_00947","y","pbgrb","09:26 AEDT","",947,36.1640625
"6",20241217,"20241217_training_00948","y","pbgrb","09:31 AEDT","sgn",948,296.68359375
"7",20241217,"20241217_training_00949","y","pbgrb","09:32 AEDT","",949,72.55078125
"8",20241217,"20241217_training_00950","y","pbgrb","09:46 AEDT","",950,160.705078125
"9",20241217,"20241217_training_00951","y","pbgrb","09:47 AEDT","",951,50.25
"10",20241217,"20241217_training_00952","y","pbgrb","09:49 AEDT","",952,67.939453125
"11",20241217,"20241217_training_00953","y","pbgrb","09:50 AEDT","",953,38.4375
"12",20241217,"20241217_training_00954","y","pbgrb","09:51 AEDT","",954,103.142578125
"14",20241217,"20241217_training_00958","y","gbb","10:25 AEDT","",958,29.033203125
"15",20241217,"20241217_training_00959","y","gbb","10:26 AEDT","",959,53.7421875
"16",20241217,"20241217_training_00960","y","gbb","10:29 AEDT","soo",960,164.12109375
"17",20241217,"20241217_training_00961","y","gbb","10:30 AEDT","",961,64.8515625
"21",20241217,"20241217_training_00970","y","jgyr","10:55 AEDT","",970,29.77734375
"22",20241217,"20241217_training_00971","y","jgyr","15:26 AEDT","",971,67.1484375
"23",20241217,"20241217_training_00972","y","jgyr","15:36 AEDT","pwrbo+",972,634.03125
"24",20241217,"20241217_training_00973","y","jgyr","15:36 AEDT","pwrbo",973,54.744140625
"25",20241217,"20241217_training_00974","y","jgyr","15:40 AEDT","",974,144.521484375
"26",20241217,"20241217_training_00975","y","jgyr","15:45 AEDT","",975,311.900390625
"27",20241217,"20241217_training_00976","y","jgyr","15:47 AEDT","",976,53.63671875
"29",20241217,"20241217_training_00980","y","syw","16:09 AEDT","",980,334.76953125
"36",20241218,"20241218_training_01035","y","jgyr","11:31 AEDT","",1035,233.6015625
"37",20241218,"20241218_training_01037","y","cmra","11:34 AEDT","",1037,130.236328125
"38",20241218,"20241218_training_01038","y","cmra","11:38 AEDT","",1038,52.91015625
"39",20241218,"20241218_training_01040","y","cmra","11:40 AEDT","jbbwb",1040,70.96875
"41",20241218,"20241218_training_01043","y","cmra","11:44 AEDT","",1043,88.470703125
"42",20241218,"20241218_training_01044","y","cmra","11:51 AEDT","",1044,27.158203125
"43",20241218,"20241218_training_01045","y","cmra","11:54 AEDT","",1045,205.587890625
"44",20241218,"20241218_training_01046","y","cmra","11:57 AEDT","",1046,90.533203125
"45",20241218,"20241218_training_01047","y","cmra","11:58 AEDT","",1047,6.375
"46",20241218,"20241218_training_01048","y","cmra","11:58 AEDT","",1048,27.375
"47",20241218,"20241218_training_01049","y","cmra","12:01 AEDT","",1049,126.896484375
"48",20241218,"20241218_training_01050","y","cmra","12:07 AEDT","",1050,133.669921875
"50",20241218,"20241218_training_01054","y","pbgrb","12:43 AEDT","",1054,115.875
"51",20241218,"20241218_training_01055","y","pbgrb","12:44 AEDT","",1055,70.224609375
"52",20241218,"20241218_training_01056","y","pbgrb","12:45 AEDT","",1056,28.224609375
"53",20241218,"20241218_training_01057","y","pbgrb","12:46 AEDT","",1057,54.38671875
"54",20241218,"20241218_training_01058","y","pbgrb","13:17 AEDT","",1058,255.05859375
"55",20241218,"20241218_training_01059","y","pbgrb","13:18 AEDT","",1059,39.97265625
"56",20241218,"20241218_training_01060","y","pbgrb","13:19 AEDT","",1060,59.314453125
"57",20241218,"20241218_training_01061","y","pbgrb","13:25 AEDT","",1061,300.984375
"59",20241218,"20241218_training_01066","y","jgyr","14:21 AEDT","",1066,308.267578125
"60",20241218,"20241218_training_01067","y","jgyr","14:25 AEDT","",1067,119.015625
"61",20241219,"20241219_training_01070","y","gbb","07:23 AEDT","",1070,47.970703125
"62",20241219,"20241219_training_01071","y","gbb","07:24 AEDT","",1071,96.462890625
"63",20241219,"20241219_training_01073","y","jgyr","07:27 AEDT","j, 1073-1083: all either jgyr or gbb",1073,40.078125
"64",20241219,"20241219_training_01074","y","jgyr","07:29 AEDT","hma",1074,86.015625
"65",20241219,"20241219_training_01075","y","jgyr","07:31 AEDT","hma",1075,82.828125
"66",20241219,"20241219_training_01076","y","gbb","07:36 AEDT","unb m",1076,52.58203125
"67",20241219,"20241219_training_01077","y","gbb","07:40 AEDT","",1077,31.8984375
"68",20241219,"20241219_training_01078","y","gbb","07:40 AEDT","",1078,32.73046875
"69",20241219,"20241219_training_01079","y","gbb","07:42 AEDT","j+soo",1079,40.189453125
"70",20241219,"20241219_training_01080","y","gbb","07:44 AEDT","",1080,66.17578125
"71",20241219,"20241219_training_01081","y","gbb","07:48 AEDT","hnwo",1081,255.708984375
"72",20241219,"20241219_training_01082","y","gbb","07:50 AEDT","unb",1082,52.0078125
"73",20241219,"20241219_training_01083","y","gbb","07:52 AEDT","",1083,53.982421875
"74",20241219,"20241219_training_01085","y","jmna","08:03 AEDT","js",1085,205.6875
"75",20241219,"20241219_training_01086","y","jmna","08:05 AEDT","",1086,53.396484375
"76",20241219,"20241219_training_01087","y","jmna","08:07 AEDT","",1087,62.1328125
"77",20241219,"20241219_training_01088","y","jmna","08:12 AEDT","unb f",1088,30.451171875
"78",20241219,"20241219_training_01089","y","jmna","08:14 AEDT","",1089,118.294921875
"79",20241219,"20241219_training_01090","y","jmna","08:16 AEDT","",1090,28.9453125
"80",20241219,"20241219_training_01091","y","jmna","08:16 AEDT","",1091,35.33203125
"81",20241219,"20241219_training_01092","y","jmna","08:19 AEDT","",1092,149.853515625
"82",20241219,"20241219_training_01093","y","jmna","08:20 AEDT","unb f",1093,95.560546875
"83",20241219,"20241219_training_01094","y","jmna","08:23 AEDT","unb f",1094,56.232421875
"87",20241219,"20241219_training_01102","y","jbrb","08:52 AEDT","m",1102,61.2421875
"88",20241219,"20241219_training_01104","y","jbrb","08:55 AEDT","f",1104,146.578125
"89",20241219,"20241219_training_01106","y","jbrb","08:58 AEDT","ms",1106,146.6953125
"90",20241219,"20241219_training_01107","y","jbrb","09:10 AEDT","ms",1107,97.5234375
"91",20241219,"20241219_training_01108","y","jbrb","09:26 AEDT","m",1108,83.05078125
"94",20241219,"20241219_training_01112","y","pbgrb","10:27 AEDT","inyb",1112,22.6875
"95",20241219,"20241219_training_01113","y","pbgrb","10:28 AEDT","inyb",1113,17.103515625
"96",20241219,"20241219_training_01114","y","pbgrb","10:33 AEDT","m w js",1114,63.181640625
"97",20241219,"20241219_training_01115","y","pbgrb","10:37 AEDT","",1115,70.048828125
"107",20241219,"20241219_training_01128","y","gbb","11:06 AEDT","gbb",1128,101.302734375
"108",20241219,"20241219_training_01129","y","cmra","11:18 AEDT","jbbwb",1129,36.46875
"109",20241219,"20241219_training_01130","y","cmra","11:19 AEDT","jbbwb",1130,104.21484375
"110",20241219,"20241219_training_01131","y","cmra","11:21 AEDT","",1131,136.51171875
"114",20241219,"20241219_training_01135","y","jgyr","14:47 AEDT","",1135,302.47265625
"115",20241219,"20241219_training_01136","y","jgyr","14:49 AEDT","",1136,48.884765625
"116",20241219,"20241219_training_01137","y","cmra","14:54 AEDT","",1137,48.6796875
"117",20241219,"20241219_training_01138","y","cmra","15:03 AEDT","",1138,41.6015625
"118",20241219,"20241219_training_01139","y","cmra","15:06 AEDT","",1139,89.080078125
"119",20241219,"20241219_training_01140","y","cmra","15:07 AEDT","",1140,34.72265625
"120",20241219,"20241219_training_01141","y","cmra","15:10 AEDT","",1141,66.474609375
